years1-5,years6-10
15,34
16,21
33,19
4,36
51,14
3,8
15,1
19,98
14,20
7,173
13,49
2,15
4,40
0,60
7,35
20,34
0,66
18,44
1,3
30,7
0,39
12,0
15,1
9,11
0,29
2,11
6,3
56,22
26,7
20,0
13,14
55,67
10,58
1,4
6,28
31,22
18,72
22,53
7,43
9,86
36,26
0,72
4,43
55,35
7,36
11,2
23,2
23,68
53,9
53,7
0,23
14,9
22,20
12,14
3,60
20,21
0,11
6,25
24,
4,
14,
16,
9,
34,
23,
3,
18,
3,
13,
8,
2,
3,
38,
1,
9,
10,
28,
36,
11,
32,
3,
,
7,
39,
27,
18,
3,
7,
27,
2,
14,
30,
10,
1,
1,
8,
2,
3,
15,
5,
6,
24,
13,
18,
48,
12,
27,
46,
7,
7,
22,
2,
13,
14,
19,
3,
0,
6,
14,
8,
